category,cardNumber,parallel,isAuto,printRun,player
base,1,Sky Blue Mojo Refractor,false,499,Aaron Judge
base,1,Neon Green Mojo Refractor,false,399,Aaron Judge
base,1,Fuchsia Mojo Refractor,false,299,Aaron Judge
base,1,Burgundy Mojo Refractor,false,275,Aaron Judge
base,1,Purple Mojo Refractor,false,250,Aaron Judge
base,1,Pink Mojo Refractor,false,199,Aaron Judge
base,1,Navy Mojo Refractor,false,175,Aaron Judge
base,1,Blue Mojo Refractor,false,150,Aaron Judge
base,1,Aqua Mojo Refractor,false,125,Aaron Judge
base,1,Green Mojo Refractor,false,99,Aaron Judge
base,1,Yellow Mojo Refractor,false,75,Aaron Judge
base,1,Orange Mojo Refractor,false,25,Aaron Judge
base,1,Black & White Mojo Refractor,false,15,Aaron Judge
base,1,Black Mojo Refractor,false,10,Aaron Judge
base,1,Red Mojo Refractor,false,5,Aaron Judge
base,2,Sky Blue Mojo Refractor,false,499,Yoshinobu Yamamoto
base,2,Neon Green Mojo Refractor,false,399,Yoshinobu Yamamoto
base,2,Fuchsia Mojo Refractor,false,299,Yoshinobu Yamamoto
base,2,Burgundy Mojo Refractor,false,275,Yoshinobu Yamamoto
base,2,Purple Mojo Refractor,false,250,Yoshinobu Yamamoto
base,2,Pink Mojo Refractor,false,199,Yoshinobu Yamamoto
base,2,Navy Mojo Refractor,false,175,Yoshinobu Yamamoto
base,2,Blue Mojo Refractor,false,150,Yoshinobu Yamamoto
base,2,Aqua Mojo Refractor,false,125,Yoshinobu Yamamoto
base,2,Green Mojo Refractor,false,99,Yoshinobu Yamamoto
base,2,Yellow Mojo Refractor,false,75,Yoshinobu Yamamoto
base,2,Gold Mojo Refractor,false,50,Yoshinobu Yamamoto
base,2,Orange Mojo Refractor,false,25,Yoshinobu Yamamoto
base,2,Black & White Mojo Refractor,false,15,Yoshinobu Yamamoto
base,2,Black Mojo Refractor,false,10,Yoshinobu Yamamoto
base,2,Red Mojo Refractor,false,5,Yoshinobu Yamamoto
base,3,Sky Blue Mojo Refractor,false,499,Chase Burns
base,3,Neon Green Mojo Refractor,false,399,Chase Burns
base,3,Fuchsia Mojo Refractor,false,299,Chase Burns
base,3,Purple Mojo Refractor,false,250,Chase Burns
base,3,Pink Mojo Refractor,false,199,Chase Burns
base,3,Navy Mojo Refractor,false,175,Chase Burns
base,3,Blue Mojo Refractor,false,150,Chase Burns
base,3,Aqua Mojo Refractor,false,125,Chase Burns
base,3,Green Mojo Refractor,false,99,Chase Burns
base,3,Yellow Mojo Refractor,false,75,Chase Burns
base,3,Gold Mojo Refractor,false,50,Chase Burns
base,3,Orange Mojo Refractor,false,25,Chase Burns
base,3,Black & White Mojo Refractor,false,15,Chase Burns
base,3,Black Mojo Refractor,false,10,Chase Burns
base,3,Red Mojo Refractor,false,5,Chase Burns
base,6,Sky Blue Mojo Refractor,false,499,Sal Stewart
base,6,Neon Green Mojo Refractor,false,399,Sal Stewart
base,6,Fuchsia Mojo Refractor,false,299,Sal Stewart
base,6,Burgundy Mojo Refractor,false,275,Sal Stewart
base,6,Purple Mojo Refractor,false,250,Sal Stewart
base,6,Pink Mojo Refractor,false,199,Sal Stewart
base,6,Navy Mojo Refractor,false,175,Sal Stewart
base,6,Blue Mojo Refractor,false,150,Sal Stewart
base,6,Green Mojo Refractor,false,99,Sal Stewart
base,6,Yellow Mojo Refractor,false,75,Sal Stewart
base,6,Gold Mojo Refractor,false,50,Sal Stewart
base,6,Orange Mojo Refractor,false,25,Sal Stewart
base,6,Black & White Mojo Refractor,false,15,Sal Stewart
base,6,Black Mojo Refractor,false,10,Sal Stewart
base,6,Red Mojo Refractor,false,5,Sal Stewart
base,7,Sky Blue Mojo Refractor,false,499,Bryce Harper
base,7,Fuchsia Mojo Refractor,false,299,Bryce Harper
base,7,Burgundy Mojo Refractor,false,275,Bryce Harper
base,7,Purple Mojo Refractor,false,250,Bryce Harper
base,7,Pink Mojo Refractor,false,199,Bryce Harper
base,7,Navy Mojo Refractor,false,175,Bryce Harper
base,7,Blue Mojo Refractor,false,150,Bryce Harper
base,7,Aqua Mojo Refractor,false,125,Bryce Harper
base,7,Green Mojo Refractor,false,99,Bryce Harper
base,7,Gold Mojo Refractor,false,50,Bryce Harper
base,7,Orange Mojo Refractor,false,25,Bryce Harper
base,7,Black & White Mojo Refractor,false,15,Bryce Harper
base,7,Black Mojo Refractor,false,10,Bryce Harper
base,7,Red Mojo Refractor,false,5,Bryce Harper
base,7,Rose Gold Mojo Refractor,false,1,Bryce Harper
base,9,Sky Blue Mojo Refractor,false,499,Munetaka Murakami
base,9,Burgundy Mojo Refractor,false,275,Munetaka Murakami
base,9,Purple Mojo Refractor,false,250,Munetaka Murakami
base,9,Navy Mojo Refractor,false,175,Munetaka Murakami
base,9,Blue Mojo Refractor,false,150,Munetaka Murakami
base,9,Green Mojo Refractor,false,99,Munetaka Murakami
base,9,Yellow Mojo Refractor,false,75,Munetaka Murakami
base,9,Gold Mojo Refractor,false,50,Munetaka Murakami
base,9,Orange Mojo Refractor,false,25,Munetaka Murakami
